,symbol,common_name,scientific_name,species,state_and_province,category,family,family_common_name,duration,growth_habit,native_status,invasive,active_growth_period,after_harvest_regrowth_rate,fall_conspicuous,fire_resistance,flower_color,flower_conspicuous,foliage_color,fruit_conspicuous,growth_form,growth_rate,height_at_base_age_maximum_feet,height_mature_feet,leaf_retention,lifespan,resprout_ability,shape_and_orientation,toxicity,adapted_to_coarse_textured_soils,adapted_to_medium_textured_soils,adapted_to_fine_textured_soils,anaerobic_tolerance,cacosub3sub_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_minimum,ph_maximum,planting_density_per_acre_minimum,planting_density_per_acre_maximum,precipitation_minimum,precipitation_maximum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruitseed_abundance,fruitseed_period_begin,fruitseed_period_end,fruitseed_persistence,propogated_by_bare_root,propogated_by_bulbs,propogated_by_container,propogated_by_corms,propogated_by_cuttings,propogated_by_seed,propogated_by_sod,propogated_by_sprigs,propogated_by_tubers,seeds_per_pound,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,berrynutseed_product,christmas_tree_product,fodder_product,fuelwood_product,lumber_product,naval_store_product,nursery_stock_product,palatable_browse_animal,palatable_graze_animal,palatable_human,post_product,protein_potential,pulpwood_product,veneer_product
64565,PHAL2,alpine timothy,Phleum alpinum,alpinum,"USA (AK, AZ, CA, CO, ID, ME, MI, MT, NH, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, LB, NB, NF, NS, NT, ON, QC, SK, YT), DEN (GL)",Monocot,Poaceae,Grass family,Perennial,Graminoid,"L48 (N), AK (N), CAN (N), GL (N)",,Spring and Summer,Slow,No,No,Yellow,No,Green,No,Bunch,Slow,,1.4,No,Moderate,No,Erect,None,No,Yes,Yes,Low,Low,No,Low,Medium,High,90,None,Medium,5,7.5,,,16,60,10,None,Intermediate,-43,Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,1044689,Slow,Medium,No,None,No,No,Yes,,No,No,No,High,High,No,No,Medium,No,No
64602,PHAM4,American pokeweed,Phytolacca americana,americana,"USA (AL, AR, AZ, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV), CAN (NB, ON, QC)",Dicot,Phytolaccaceae,Pokeweed family,Perennial,Forb/herb,"L48 (N), CAN (N)","KY, N'EAST, NE&GP, SWSS",Spring and Summer,Slow,Yes,No,White,Yes,Green,Yes,Single Stem,Rapid,,7.3,No,Moderate,No,Erect,Slight,Yes,Yes,Yes,Low,High,No,Medium,Medium,High,100,None,Medium,4.7,8,,,30,65,16,None,Tolerant,-33,Mid Summer,No Known Source,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,58000,Rapid,Medium,No,None,No,No,No,,No,No,No,Low,Low,Yes,No,Low,No,No
64642,PHAQ,bulbous canarygrass,Phalaris aquatica,aquatica,"USA (AZ, CA, DC, HI, MS, MT, NC, OR, SC, TX, VA)",Monocot,Poaceae,Grass family,Perennial,Graminoid,"L48 (I), HI (I)",Cal-IPC,"Fall, Winter and Spring",Rapid,No,No,Yellow,No,Green,No,Rhizomatous,Rapid,,4,No,Long,No,Erect,None,No,Yes,Yes,High,Low,No,High,Medium,High,240,None,High,5.4,7.5,,,16,40,12,Medium,Intolerant,7,Early Spring,Routinely Available,Medium,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,340800,Slow,Low,No,Moderate,No,No,Yes,,No,No,No,High,High,No,No,Medium,No,No
64655,PHAR3,reed canarygrass,Phalaris arundinacea,arundinacea,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)",Monocot,Poaceae,Grass family,Perennial,Graminoid,"L48 (N), AK (I), CAN (N), SPM (I)","N'EAST, NE&GP, SEEPPC, STATE, SWSS, WI, WSWS","Spring, Summer, Fall",Moderate,No,No,Yellow,No,Green,No,Rhizomatous,Rapid,,5,No,Long,No,Erect,Slight,No,Yes,Yes,High,Medium,No,Low,High,High,120,None,High,5.5,8,2700,4800,30,65,14,Medium,Intolerant,-38,Late Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,Yes,No,537920,Slow,Low,No,Rapid,No,No,Yes,,No,No,No,Low,Medium,No,No,Medium,No,No
64684,PHAU7,common reed,Phragmites australis,australis,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK)",Monocot,Poaceae,Grass family,Perennial,"Subshrub, Shrub, Graminoid","L48 (N), HI (I), CAN (N)","N'EAST, SEEPPC, STATE",Spring,Moderate,No,No,White,No,Green,Yes,Rhizomatous,Rapid,,13,No,Long,No,Erect,None,Yes,Yes,Yes,High,Medium,No,Low,Medium,High,110,Low,Medium,4.5,8.7,3450,4800,12,60,20,High,Intolerant,-38,Summer,Routinely Available,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,,Slow,High,No,Rapid,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
64763,PHBR4,purple mountainheath,Phyllodoce breweri,breweri,"USA (CA, NV)",Dicot,Ericaceae,Heath family,Perennial,"Subshrub, Shrub",L48 (N),,Spring and Summer,,No,Yes,Purple,Yes,Green,No,Rhizomatous,Slow,,1,Yes,Moderate,Yes,Decumbent,Slight,Yes,No,No,None,None,Yes,None,Low,Medium,200,High,High,5.5,7.5,1200,19000,40,60,6,None,Intermediate,-3,Summer,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Slow,Medium,No,Moderate,No,No,No,,No,No,Yes,Low,Low,No,No,Medium,No,No
64932,PHCO7,sweet mock orange,Philadelphus coronarius,coronarius,"USA (CT, GA, IL, IN, KY, MA, MD, ME, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, VA, VT, WI), CAN (NB, ON, QC)",Dicot,Hydrangeaceae,Hydrangea family,Perennial,Shrub,"L48 (I), CAN (I)",,Spring and Summer,,No,No,White,No,Green,Yes,Multiple Stem,Moderate,8,8,No,Long,Yes,Erect,None,No,No,Yes,None,Medium,Yes,Low,Medium,Low,145,High,Medium,5.3,7.5,1700,2700,35,50,24,Medium,Intolerant,-18,Late Spring,Routinely Available,High,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,5000000,Slow,Low,No,None,No,No,No,,No,No,Yes,High,Low,No,No,Low,No,No
65014,PHDI3,spreading phlox,Phlox diffusa,diffusa,"USA (AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",Dicot,Polemoniaceae,Phlox family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,Purple,Yes,Green,No,Single Crown,Slow,,0.5,No,Moderate,No,Decumbent,None,Yes,Yes,No,None,Medium,Yes,High,Low,Medium,120,None,Low,6.5,8.5,2700,4800,20,40,15,None,Tolerant,-13,Late Spring,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,Yes,No,,Slow,Low,No,Slow,No,No,Yes,,No,No,No,Low,Low,No,No,Low,No,No
65203,PHGL4,smooth phlox,Phlox glaberrima,glaberrima,"USA (AL, AR, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, OH, OK, SC, TN, VA, WI, WV)",Dicot,Polemoniaceae,Phlox family,Perennial,Forb/herb,L48 (N),,Spring and Summer,Slow,No,No,Red,Yes,Green,No,Single Crown,Moderate,,3,No,Moderate,No,Erect,None,No,Yes,Yes,High,Low,No,Low,Medium,High,110,None,High,5.8,7,2700,4800,32,50,8,None,Intermediate,-28,Late Spring,Routinely Available,Medium,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,,Slow,Medium,No,None,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
65258,PHHA,silverleaf phacelia,Phacelia hastata,hastata,"USA (CA, CO, ID, MT, ND, NE, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",Dicot,Hydrophyllaceae,Waterleaf family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,White,No,Green,No,Bunch,Moderate,,2,No,Moderate,No,Decumbent,None,Yes,Yes,No,None,Low,No,High,Low,Medium,100,None,Medium,6.1,7.3,,,10,18,10,None,Intermediate,-38,Mid Spring,Contracting Only,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,153000,Slow,Medium,No,Moderate,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
65519,PHLE4,Lewis' mock orange,Philadelphus lewisii,lewisii,"USA (CA, ID, MT, OR, WA), CAN (AB, BC)",Dicot,Hydrangeaceae,Hydrangea family,Perennial,Shrub,"L48 (N), CAN (N)",,Spring and Summer,,No,No,White,Yes,Green,No,Multiple Stem,Moderate,6,12,No,Moderate,Yes,Erect,None,Yes,Yes,No,Low,Medium,Yes,Medium,Low,Low,140,High,Low,7,8,692,1200,19,69,6,None,Intolerant,7,Late Spring,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,8000000,Moderate,Medium,No,None,No,No,No,,No,No,Yes,High,High,No,No,Low,No,No
65562,PHLO2,longleaf phlox,Phlox longifolia,longifolia,"USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (BC)",Dicot,Polemoniaceae,Phlox family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,Purple,Yes,Green,No,Multiple Stem,Slow,,1.2,No,Long,No,Semi-Erect,None,Yes,Yes,No,None,Medium,Yes,High,Low,Medium,120,None,Low,6.5,8.5,2700,11000,20,40,15,Low,Intermediate,-13,Late Spring,No Known Source,Medium,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Low,No,None,No,No,Yes,,No,No,No,Medium,Low,No,No,Low,No,No
65634,PHMA5,mallow ninebark,Physocarpus malvaceus,malvaceus,"USA (CO, ID, MT, NV, OR, UT, WA, WY), CAN (AB, BC)",Dicot,Rosaceae,Rose family,Perennial,Shrub,"L48 (N), CAN (N)",,Spring and Summer,,Yes,No,White,Yes,Green,No,Multiple Stem,Rapid,15,15,No,Long,Yes,Erect,None,Yes,Yes,Yes,Low,High,No,High,Low,High,120,,Low,6,7.5,300,1200,17,40,24,None,Intolerant,-33,Late Spring,Contracting Only,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,753000,Slow,Medium,No,Slow,No,No,No,,No,No,Yes,Medium,Low,No,No,Low,No,No
65641,PHMAM,wild sweetwilliam,Phlox maculata ssp. maculata,maculata,"USA (AL, CT, DC, DE, GA, IA, IL, IN, KY, MD, ME, MI, MN, MS, NC, NJ, NY, OH, PA, SC, TN, VA, VT, WV), CAN (NS, ON, QC)",Dicot,Polemoniaceae,Phlox family,Perennial,Forb/herb,"L48 (N), CAN (I)",,"Spring, Summer, Fall",Slow,No,No,Red,Yes,Green,No,Rhizomatous,Moderate,,2,No,Short,No,Erect,None,No,Yes,Yes,Medium,High,No,Medium,Low,High,140,None,Medium,5.9,6.8,2700,4800,30,55,11,None,Intolerant,-18,Mid Summer,No Known Source,Low,Summer,Fall,No,Yes,No,No,No,Yes,No,No,Yes,No,,Slow,Low,No,Slow,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
65681,PHMI4,littleleaf mock orange,Philadelphus microphyllus,microphyllus,"USA (AZ, CA, CO, NM, NV, TX, UT, WY)",Dicot,Hydrangeaceae,Hydrangea family,Perennial,Shrub,L48 (N),,Spring and Summer,,Yes,No,White,Yes,Green,Yes,Multiple Stem,Moderate,10,15,No,Moderate,Yes,Erect,None,Yes,Yes,No,None,High,No,High,Low,None,115,High,Low,7,8.5,10,700,8,12,6,None,Intolerant,-23,Spring,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,5000,Slow,Medium,No,None,No,No,No,,No,No,Yes,Medium,Medium,No,No,Low,No,No
65962,PHPR3,timothy,Phleum pratense,pratense,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Monocot,Poaceae,Grass family,Perennial,Graminoid,"L48 (I), AK (I), HI (I), CAN (I), GL (I), SPM (I)",N'EAST,Spring and Summer,Moderate,No,No,Yellow,No,Green,No,Bunch,Rapid,,3,No,Moderate,No,Erect,None,No,Yes,Yes,Low,High,No,Low,Medium,Medium,90,None,Medium,5,7.8,,,30,65,10,Low,Intermediate,-43,Late Spring,Routinely Available,High,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,1163200,Slow,Medium,No,None,No,No,Yes,,No,No,No,High,High,No,No,Medium,No,No
66014,PHPY4,,Photinia pyrifolia,pyrifolia,,,,,,,,,Spring and Summer,,Yes,No,White,Yes,Green,Yes,Colonizing,Moderate,5,5,No,Moderate,No,Erect,None,No,Yes,Yes,Medium,Low,Yes,Low,Medium,Medium,130,Low,High,5.5,7.5,700,2700,34,60,20,Low,Intolerant,-18,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,256000,Slow,Low,No,Moderate,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
66219,PHSU3,moss phlox,Phlox subulata,subulata,"USA (AL, AR, CT, DE, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MS, NC, NH, NJ, NY, OH, PA, RI, TN, UT, VA, VT, WI, WV), CAN (MB, NB, NS, ON, QC)",Dicot,Polemoniaceae,Phlox family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (NI)",,"Spring, Summer, Fall",Slow,Yes,Yes,Purple,Yes,Green,No,Stoloniferous,Rapid,,0.5,No,Moderate,No,Prostrate,None,Yes,Yes,Yes,None,Low,No,Low,High,High,100,None,High,5.7,7.5,2700,19000,34,60,8,None,Intermediate,-28,Early Spring,Routinely Available,,,,No,No,No,Yes,No,No,No,No,Yes,No,,None,,No,Rapid,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
66522,PICA15,Canary Island pine,Pinus canariensis,canariensis,,Gymnosperm,Pinaceae,Pine family,,,,,Spring and Summer,,No,No,Green,No,Dark Green,Yes,Single Stem,Slow,60,98,Yes,Long,No,Erect,None,Yes,Yes,No,None,Medium,Yes,Low,Low,None,160,Low,Medium,7,8,170,400,10,40,12,None,Intolerant,32,Late Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,4160,Slow,High,No,None,No,Yes,No,Low,Yes,Yes,Yes,Low,Low,No,Yes,Low,Yes,Yes
66545,PICE,Mexican pinyon,Pinus cembroides,cembroides,"USA (NM, TX)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Summer,,Yes,No,Yellow,No,Dark Green,Yes,Single Stem,Slow,20,25,Yes,Long,Yes,Climbing,None,Yes,Yes,Yes,None,High,Yes,High,Low,Low,90,Medium,Low,7,8.5,170,170,10,20,12,Low,Intolerant,-33,Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,1840,Moderate,High,No,None,Yes,No,No,Medium,No,No,No,Low,Low,Yes,No,Low,No,No
66571,PICO,lodgepole pine,Pinus contorta,contorta,"USA (AK, CA, CO, ID, MT, NV, OR, SD, UT, WA, WY), CAN (AB, BC, NT, SK, YT)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (N), AK (N), CAN (N)",,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Rapid,30,99,Yes,Long,No,Erect,None,Yes,Yes,Yes,Low,High,Yes,Low,Medium,Low,100,Medium,Medium,6.2,7.5,430,700,18,25,20,None,Intolerant,-70,Mid Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,94000,Rapid,High,No,None,No,No,No,Medium,Yes,Yes,No,Low,Low,No,Yes,Low,Yes,Yes
66574,PICO3,Coulter pine,Pinus coulteri,coulteri,USA (CA),Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Slow,20,80,Yes,Moderate,No,Conical,None,No,Yes,No,Low,Medium,Yes,Low,Low,Low,220,,Medium,5.5,7,430,1200,35,60,40,None,Intolerant,12,Late Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,1360,Slow,Medium,No,None,No,No,No,Medium,Yes,No,Yes,Low,Low,No,No,Low,Yes,Yes
66607,PIDE4,bud sagebrush,Picrothamnus desertorum,desertorum,"USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WY)",Dicot,Asteraceae,Aster family,Perennial,"Subshrub, Shrub",L48 (N),,Spring,Slow,No,No,Yellow,Yes,Gray-Green,No,Multiple Stem,Slow,2,2,No,Long,No,Rounded,Moderate,Yes,Yes,Yes,None,High,No,High,Low,Low,90,High,Low,6,8.5,700,1700,6,10,20,Medium,Intolerant,-43,Mid Spring,No Known Source,Medium,Spring,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,900000,Slow,Medium,No,None,No,No,No,,No,No,No,Medium,Low,No,No,Medium,No,No
66628,PIEC2,shortleaf pine,Pinus echinata,echinata,"USA (AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Rapid,60,100,Yes,Moderate,Yes,Conical,None,Yes,Yes,Yes,None,Low,Yes,Medium,Low,High,180,Low,Medium,4,6,430,1200,34,65,24,None,Intolerant,-18,Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,48000,Moderate,High,No,None,No,Yes,No,Low,Yes,Yes,Yes,Low,Low,No,Yes,Low,Yes,Yes
66629,PIED,twoneedle pinyon,Pinus edulis,edulis,"USA (AZ, CA, CO, NM, NV, OK, TX, UT, WY)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Slow,25,50,Yes,Long,No,Conical,None,Yes,Yes,Yes,None,Low,Yes,High,Medium,Low,200,None,Low,6.5,8.5,170,600,9,27,20,Medium,Intolerant,-31,Early Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,2333,Slow,Low,No,None,Yes,Yes,No,High,No,No,Yes,Low,Low,Yes,Yes,Low,No,No
66645,PIEN,Engelmann spruce,Picea engelmannii,engelmannii,"USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (N), CAN (N)",,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Slow,30,120,Yes,Long,No,Conical,None,No,Yes,Yes,None,High,No,Low,Low,Low,30,Low,Medium,6,8,300,700,21,160,20,None,Tolerant,-50,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,135040,Slow,Low,No,None,No,No,No,Medium,Yes,Yes,Yes,Medium,Low,No,Yes,Low,Yes,Yes
66704,PIGR4,narrowleaf silkgrass,Pityopsis graminifolia,graminifolia,"USA (AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, OH, OK, SC, TN, TX, VA, WV)",Dicot,Asteraceae,Aster family,Perennial,Forb/herb,L48 (N),,Spring and Summer,Slow,No,No,White,Yes,Green,No,Rhizomatous,Slow,,2.8,No,Moderate,No,Semi-Erect,None,No,Yes,Yes,None,Medium,No,High,Low,High,240,None,Medium,5.8,7,2700,4800,32,55,10,None,Intermediate,-3,Late Spring,No Known Source,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,375000,Slow,Medium,No,Slow,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
66758,PIJE,Jeffrey pine,Pinus jeffreyi,jeffreyi,"USA (CA, NV, OR)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,Yes,Brown,No,Dark Green,Yes,Single Stem,Rapid,40,180,Yes,Long,No,Erect,None,Yes,Yes,No,None,None,Yes,Medium,Low,Medium,120,Low,Medium,5.6,8.4,430,1200,20,80,40,None,Intolerant,-38,Late Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,3200,Slow,Medium,No,None,No,No,No,Medium,Yes,Yes,Yes,Low,Low,No,Yes,Low,Yes,Yes
66828,PIMI7,,Piptatherum micranthum,micranthum,,,,,,,,,Spring and Summer,Slow,No,No,Yellow,No,Green,No,Bunch,Moderate,,2.5,No,Long,No,Erect,None,Yes,Yes,No,None,Medium,Yes,Medium,Low,High,80,None,Low,5.9,7.5,,,10,28,12,Low,Intolerant,-38,Late Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,385000,Moderate,Medium,No,None,No,No,Yes,,No,No,No,Low,Low,No,No,Low,No,No
66831,PIMO,singleleaf pinyon,Pinus monophylla,monophylla,"USA (AZ, CA, ID, NM, NV, UT)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Slow,20,50,Yes,Long,No,Rounded,Slight,Yes,Yes,No,None,High,Yes,High,Low,Low,150,Low,Low,6.2,7.5,170,600,11,20,40,None,Intolerant,-23,Mid Spring,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,1110,Moderate,Low,No,Slow,Yes,Yes,No,Medium,No,No,Yes,Low,Low,Yes,Yes,Low,No,No
66832,PIMO3,western white pine,Pinus monticola,monticola,"USA (CA, ID, MT, NV, OR, UT, WA), CAN (AB, BC)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (N), CAN (N)",,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Rapid,35,200,Yes,Long,No,Conical,None,Yes,Yes,No,None,Medium,Yes,Low,Medium,Low,120,Medium,Medium,5.5,7,430,1200,15,30,40,None,Intermediate,-33,Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,27040,Moderate,Medium,No,None,No,No,No,Medium,Yes,Yes,Yes,Low,Low,No,No,Low,Yes,Yes
66869,PINI,Austrian pine,Pinus nigra,nigra,"USA (IL, MA, MD, ME, MI, MO, MS, NJ, NY, OH, PA), CAN (AB, BC, ON, QC)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (I), CAN (I)",,Spring,,No,No,Yellow,No,Green,No,Single Stem,Moderate,35,120,Yes,Long,No,Rounded,None,No,Yes,No,None,High,Yes,Medium,Medium,Low,100,High,Medium,5.5,7.5,430,1200,35,50,40,Medium,Intolerant,-38,Late Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,26080,Slow,Medium,No,None,No,Yes,No,Medium,No,No,Yes,Low,Low,No,No,Low,No,Yes
66931,PIPO,ponderosa pine,Pinus ponderosa,ponderosa,"USA (AZ, CA, CO, ID, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (BC)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (N), CAN (N)",,Spring and Summer,,No,Yes,Yellow,No,Green,No,Single Stem,Moderate,40,223,Yes,Long,No,Rounded,None,Yes,Yes,No,None,Low,Yes,High,Low,High,150,Low,Medium,5,9,430,1200,15,25,20,Medium,Intolerant,-36,Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,12000,Slow,High,No,None,No,No,No,Medium,Yes,Yes,Yes,Low,Low,No,Yes,Low,Yes,Yes
66957,PIPU,blue spruce,Picea pungens,pungens,"USA (AZ, CO, ID, MD, ME, MN, NM, NY, PA, UT, WY), CAN (NS, ON)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (N), CAN (I)",,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Slow,20,100,Yes,Long,No,Conical,None,Yes,Yes,No,None,High,No,Medium,Medium,Low,120,Low,Medium,5.5,7.8,300,700,20,45,18,Low,Intermediate,-38,Late Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,106080,Moderate,Low,No,None,No,Yes,No,Medium,Yes,No,Yes,Low,Low,No,Yes,Low,Yes,Yes
67024,PISA2,California foothill pine,Pinus sabiniana,sabiniana,"USA (CA, OR)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),,Spring and Summer,,No,No,Yellow,No,Green,No,Single Stem,Slow,20,80,Yes,Moderate,No,Erect,None,Yes,Yes,No,None,Medium,Yes,High,Low,Low,230,Low,Low,6,8.3,430,1200,14,24,40,None,Intolerant,12,Early Spring,Contracting Only,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,580,Slow,Medium,No,None,No,No,No,Medium,No,No,Yes,Low,Low,Yes,No,Low,No,No
67077,PISY,Scots pine,Pinus sylvestris,sylvestris,"USA (CT, DE, IA, IL, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,"L48 (I), CAN (I)",,Spring and Summer,,No,No,,No,Green,No,Single Stem,Rapid,30,110,Yes,Moderate,No,Conical,None,Yes,Yes,No,Medium,Low,Yes,Medium,Medium,Low,120,Medium,Medium,5,7.5,430,1200,24,45,20,Low,Intolerant,-36,Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,70720,Slow,Medium,No,None,No,Yes,No,Medium,No,No,Yes,Low,Low,No,No,Low,Yes,No
67079,PITA,loblolly pine,Pinus taeda,taeda,"USA (AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, OH, OK, SC, TN, TX, VA)",Gymnosperm,Pinaceae,Pine family,Perennial,Tree,L48 (N),HEAR,Spring and Summer,,No,Yes,,No,Green,No,Single Stem,Rapid,50,100,Yes,Moderate,No,Rounded,None,Yes,Yes,Yes,Medium,Medium,Yes,Low,Medium,High,150,Low,High,4,7,430,1200,35,65,35,None,Intolerant,-8,Mid Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,18400,Moderate,High,No,None,No,No,No,Low,Yes,Yes,No,Low,Low,No,Yes,Low,Yes,Yes
